,Have you Completed your Graduation ?,Highest Educational Qualification,Total no of years Experience [before joining Piramal],Average Incentive [per month] earned in your pervious company ?,Which Products you are selling in your pervious role ?,What was the average ticket size handled at your end in previous role ?,How many members are there in your family ?,How many are earning family members ? [Other then yourself]2,How many members are dependent on you ?,Department,Performance,same_first_digit
209,Full Time,Under Graduate,1.0,3K-7K,Personal Loan,Fresher,5 & Above members,1.0,3,Affordable Housing,0,1
210,Full Time,Post Graduate,4.0,Above 10K,MSME / SME Loan,INR 5L - INR 15L,3 - 4 members,1.0,3,Business Loans,1,1
211,Full Time,Under Graduate,2.0,Above 10K,Housing Loan,INR 5L - INR 15L,5 & Above members,2.0,3,Budget Housing,0,1
212,Full Time,Under Graduate,1.0,Less than 3K,Housing Loan,INR 2L - INR 5L,3 - 4 members,1.0,1,Mass Affluent Housing,0,1
213,Full Time,Under Graduate,3.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,1.0,2,Affordable Housing,1,1
214,Full Time,Under Graduate,10.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,0.0,2,Affordable Housing,0,1
215,Full Time,Under Graduate,0.0,3K-7K,Car Loan,INR 5L - INR 15L,5 & Above members,1.0,5,Sales,1,1
216,Full Time,Under Graduate,5.0,3K-7K,Others,INR 50K and below,5 & Above members,5.0,2,Mass Affluent Housing,0,1
217,Full Time,Post Graduate,4.0,Above 10K,Others,INR 50K - INR 2L,3 - 4 members,1.0,2,Affordable Housing,0,1
218,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,Fresher,5 & Above members,1.0,5,Mass Affluent Housing,1,1
219,Full Time,Post Graduate,7.0,3K-7K,Others,INR 5L - INR 15L,3 - 4 members,2.0,2,Budget Housing,0,1
220,Full Time,Under Graduate,0.0,Above 10K,Car Loan,INR 2L - INR 5L,3 - 4 members,1.0,1,Sales,1,1
221,Full Time,Under Graduate,0.0,Above 10K,Personal Loan,INR 10L and above,5 & Above members,1.0,4,Sales,0,1
222,Full Time,Under Graduate,2.6,Above 10K,Personal Loan,INR 50K and below,5 & Above members,2.0,4,Mass Affluent Housing,1,1
223,Full Time,Under Graduate,0.0,3K-7K,Housing Loan,INR 2L - INR 5L,3 - 4 members,1.0,2,Mass Affluent Housing,0,1
224,Full Time,Under Graduate,7.0,3K-7K,Others,INR 50K - INR 2L,3 - 4 members,1.0,1,Affordable Housing,0,1
225,Part Time,Under Graduate,3.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,1.0,3,Affordable Housing,1,1
226,Part Time,Post Graduate,6.5,Above 10K,Housing Loan,INR 50K and below,3 - 4 members,2.0,1,Affordable Housing,0,1
227,Full Time,Under Graduate,1.5,7K-10K,Housing Loan,INR 5L - INR 15L,3 - 4 members,1.0,2,Affordable Housing,1,1
228,Part Time,Under Graduate,4.0,Above 10K,Others,INR 50K and below,5 & Above members,2.0,1,Sales,0,1
229,Full Time,Under Graduate,3.5,7K-10K,Car Loan,INR 2L - INR 5L,3 - 4 members,1.0,2,Sales,1,1
230,Full Time,Under Graduate,5.0,3K-7K,Personal Loan,INR 2L - INR 5L,3 - 4 members,3.0,1,Affordable Housing,0,1
231,Full Time,Post Graduate,9.0,Above 10K,Car Loan,INR 5L - INR 15L,3 - 4 members,2.0,3,Sales,1,1
232,Full Time,Under Graduate,1.0,3K-7K,Housing Loan,INR 50K - INR 2L,3 - 4 members,2.0,3,Mass Affluent Housing,0,1
233,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 10L and above,5 & Above members,1.0,3,Affordable Housing,1,1
234,Full Time,Under Graduate,6.0,Above 10K,CASA Account,INR 2L - INR 5L,5 & Above members,1.0,5,Mass Affluent Housing,1,1
235,Full Time,Under Graduate,2.0,7K-10K,Housing Loan,INR 50K - INR 2L,3 - 4 members,5.0,4,Budget Housing,1,1
236,Full Time,Under Graduate,0.0,3K-7K,Housing Loan,INR 10L and above,5 & Above members,1.0,5,Mass Affluent Housing,0,1
237,Full Time,Under Graduate,0.0,Nil,Others,Fresher,3 - 4 members,0.0,4,Affordable Housing,0,1
238,Full Time,Under Graduate,0.0,7K-10K,Housing Loan,INR 5L - INR 15L,3 - 4 members,1.0,3,Mass Affluent Housing,0,1
239,Full Time,Post Graduate,5.0,3K-7K,Personal Loan,INR 15L and above,3 - 4 members,2.0,3,Affordable Housing,0,1
240,Full Time,Under Graduate,4.0,3K-7K,Car Loan,INR 5L - INR 15L,3 - 4 members,0.0,2,Sales,1,1
241,Full Time,Under Graduate,4.0,3K-7K,Others,INR 2L - INR 5L,3 - 4 members,1.0,3,Budget Housing,1,1
242,Full Time,Under Graduate,6.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,1.0,3,Affordable Housing,1,1
243,Full Time,Post Graduate,5.0,7K-10K,Housing Loan,INR 5L - INR 15L,1 - 2 members,0.0,2,Affordable Housing,0,1
244,Full Time,Under Graduate,5.0,7K-10K,CASA Account,Fresher,1 - 2 members,0.0,1,Affordable Housing,0,1
245,Full Time,Under Graduate,0.0,Above 10K,Business Loan,INR 5L - INR 15L,3 - 4 members,1.0,3,Business Loans,1,1
246,Full Time,Under Graduate,0.0,Nil,Others,Fresher,3 - 4 members,1.0,2,Affordable Housing,1,1
247,Full Time,Under Graduate,0.0,3K-7K,Personal Loan,INR 2L - INR 5L,3 - 4 members,1.0,3,Sales,0,1
248,Full Time,Under Graduate,3.0,Above 10K,Housing Loan,INR 10L and above,3 - 4 members,1.0,3,Affordable Housing,0,1
249,Full Time,Under Graduate,1.5,7K-10K,Car Loan,INR 5L - INR 15L,3 - 4 members,1.0,3,Sales,0,0
250,Full Time,Under Graduate,3.916666667,Above 10K,Housing Loan,INR 10L and above,5 & Above members,1.0,3,Mass Affluent Housing,1,1
251,Full Time,Under Graduate,6.0,Above 10K,MSME / SME Loan,INR 15L and above,5 & Above members,2.0,7,Business Loans,0,0
252,Full Time,Post Graduate,6.0,Above 10K,Personal Loan,INR 50K - INR 2L,5 & Above members,3.0,2,Mass Affluent Housing,1,1
253,Full Time,Post Graduate,1.5,7K-10K,Housing Loan,INR 2L - INR 5L,3 - 4 members,2.0,3,Sales,0,1
254,Full Time,Under Graduate,4.0,7K-10K,Personal Loan,INR 15L and above,1 - 2 members,0.0,1,Sales,0,1
255,Full Time,Post Graduate,2.0,3K-7K,Others,INR 50K - INR 2L,3 - 4 members,0.0,3,Mass Affluent Housing,1,1
256,Part Time,Others,5.9,Above 10K,Personal Loan,INR 15L and above,5 & Above members,1.0,7,Sales,1,0
257,Full Time,Under Graduate,1.5,Less than 3K,Housing Loan,INR 15L and above,3 - 4 members,0.0,3,Affordable Housing,0,1
258,Full Time,Under Graduate,3.0,3K-7K,Housing Loan,INR 15L and above,3 - 4 members,1.0,2,Affordable Housing,0,1
259,Full Time,Under Graduate,8.0,7K-10K,Housing Loan,INR 5L - INR 15L,5 & Above members,0.0,4,Budget Housing,1,1
260,Full Time,Post Graduate,4.0,Above 10K,Others,INR 15L and above,1 - 2 members,2.0,1,Affordable Housing,0,1
261,Full Time,Post Graduate,2.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,4.0,4,Mass Affluent Housing,0,1
262,Full Time,Under Graduate,7.0,3K-7K,Housing Loan,INR 50K and below,3 - 4 members,1.0,3,Affordable Housing,0,1
263,Full Time,Under Graduate,10.0,Above 10K,Personal Loan,INR 15L and above,3 - 4 members,1.0,1,Sales,1,1
264,Full Time,Under Graduate,9.0,3K-7K,Business Loan,INR 10L and above,1 - 2 members,1.0,2,Business Loans,1,1
265,Full Time,Post Graduate,2.0,Nil,Housing Loan,INR 50K and below,5 & Above members,3.0,0,Mass Affluent Housing,1,1
266,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 2L - INR 5L,3 - 4 members,1.0,3,Mass Affluent Housing,1,1
267,Full Time,Under Graduate,6.0,7K-10K,Car Loan,INR 2L - INR 5L,3 - 4 members,1.0,5,Mass Affluent Housing,0,1
268,Full Time,Post Graduate,8.0,Less than 3K,CASA Account,INR 50K and below,3 - 4 members,2.0,3,Affordable Housing,0,1
269,Full Time,Under Graduate,4.0,Nil,Others,Fresher,5 & Above members,2.0,3,Mass Affluent Housing,0,1
270,Full Time,Under Graduate,2.0,7K-10K,Personal Loan,INR 50K - INR 2L,3 - 4 members,1.0,4,Mass Affluent Housing,1,1
271,Full Time,Under Graduate,7.0,3K-7K,MSME / SME Loan,INR 50K and below,3 - 4 members,1.0,2,Business Loans,1,1
272,Full Time,Under Graduate,4.0,3K-7K,Housing Loan,INR 5L - INR 15L,3 - 4 members,0.0,3,Affordable Housing,1,1
273,Full Time,Under Graduate,6.0,Above 10K,Car Loan,INR 15L and above,3 - 4 members,1.0,1,Sales,1,1
274,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 10L and above,3 - 4 members,1.0,2,Mass Affluent Housing,1,1
275,Full Time,Post Graduate,0.0,Nil,Personal Loan,INR 50K and below,1 - 2 members,1.0,2,Affordable Housing,0,1
276,Full Time,Under Graduate,0.0,3K-7K,Housing Loan,INR 10L and above,5 & Above members,1.0,2,Budget Housing,1,1
277,Full Time,Under Graduate,5.0,3K-7K,Housing Loan,INR 15L and above,5 & above members,4.0,2,Affordable Housing,0,1
278,Full Time,Post Graduate,4.0,Above 10K,Personal Loan,INR 50K - INR 2L,1 - 2 members,2.0,1,Affordable Housing,0,1
279,Full Time,Post Graduate,10.0,Above 10K,Others,INR 2L - INR 5L,5 & Above members,0.0,4,Sales,1,1
280,Full Time,Under Graduate,0.0,Above 10K,Personal Loan,INR 10L and above,1 - 2 members,1.0,2,Sales,1,1
281,Full Time,Under Graduate,3.0,3K-7K,MSME / SME Loan,INR 15L and above,5 & Above members,2.0,3,Affordable Housing,0,1
282,Full Time,Under Graduate,0.0,Nil,Housing Loan,Fresher,5 & Above members,2.0,3,Affordable Housing,0,1
283,Full Time,Under Graduate,7.0,Above 10K,Personal Loan,INR 5L - INR 15L,1 - 2 members,1.0,2,Sales,1,1
284,Full Time,Under Graduate,8.0,7K-10K,MSME / SME Loan,INR 15L and above,5 & above members,2.0,2,Business Loans,1,1
285,Full Time,Under Graduate,6.0,3K-7K,Others,INR 2L - INR 5L,3 - 4 members,1.0,2,Affordable Housing,0,1
286,Full Time,Under Graduate,3.583333333,Above 10K,Loan Against Property,INR 10L and above,5 & Above members,1.0,3,Secured Business Loan,1,1
287,Full Time,Under Graduate,0.0,Less than 3K,Housing Loan,INR 10L and above,1 - 2 members,1.0,1,Affordable Housing,0,1
288,Part Time,Post Graduate,6.0,3K-7K,Car Loan,INR 5L - INR 15L,3 - 4 members,1.0,3,Sales,1,1
289,Full Time,Under Graduate,2.0,3K-7K,Housing Loan,INR 2L - INR 5L,3 - 4 members,0.0,3,Budget Housing,0,1
290,Full Time,Under Graduate,7.0,3K-7K,Others,INR 5L - INR 15L,3 - 4 members,2.0,2,Business Loans,0,1
291,Full Time,Under Graduate,12.0,Above 10K,Others,INR 15L and above,1 - 2 members,1.0,2,Secured Business Loan,0,0
292,Full Time,Under Graduate,7.0,Above 10K,Car Loan,INR 15L and above,3 - 4 members,1.0,3,Sales,0,1
293,Full Time,Under Graduate,10.0,3K-7K,Housing Loan,INR 5L - INR 15L,3 - 4 members,0.0,4,Affordable Housing,0,1
294,Full Time,Others,2.0,3K-7K,CASA Account,Fresher,3 - 4 members,5.0,4,Affordable Housing,1,1
295,Full Time,Under Graduate,2.419166667,7K-10K,Others,INR 10L and above,5 & Above members,1.0,2,Mass Affluent Housing,0,1
296,Full Time,Post Graduate,6.0,Nil,Housing Loan,INR 50K - INR 2L,5 & above members,2.0,1,Sales,1,1
297,Full Time,Under Graduate,0.0,3K-7K,Business Loan,INR 10L and above,3 - 4 members,1.0,0,Business Loans,1,1
298,Full Time,Under Graduate,1.0,Above 10K,Others,INR 15L and above,3 - 4 members,1.0,2,Affordable Housing,1,1
299,Full Time,Under Graduate,6.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,0.0,3,Mass Affluent Housing,1,1
300,Full Time,Under Graduate,0.0,Nil,Others,Fresher,3 - 4 members,2.0,3,Affordable Housing,1,1
301,Full Time,Under Graduate,6.6,Above 10K,Personal Loan,INR 50K and below,3 - 4 members,1.0,3,Affordable Housing,0,1
302,Full Time,Under Graduate,2.0,Above 10K,MSME / SME Loan,INR 15L and above,3 - 4 members,1.0,4,Business Loans,1,1
303,Full Time,Under Graduate,2.0,3K-7K,Others,Fresher,3 - 4 members,2.0,2,Affordable Housing,0,1
304,Full Time,Under Graduate,0.0,Nil,Housing Loan,INR 5L - INR 15L,5 & Above members,1.0,2,Mass Affluent Housing,0,1
305,Full Time,Under Graduate,2.0,3K-7K,Personal Loan,INR 50K - INR 2L,3 - 4 members,0.0,4,Mass Affluent Housing,0,1
306,Full Time,Post Graduate,5.0,3K-7K,Others,INR 15L and above,3 - 4 members,1.0,2,Mass Affluent Housing,0,1
307,Full Time,Post Graduate,7.0,Above 10K,MSME / SME Loan,INR 15L and above,3 - 4 members,0.0,6,Business Loans,0,1
308,Full Time,Under Graduate,3.0,3K-7K,Housing Loan,INR 15L and above,3 - 4 members,1.0,1,Mass Affluent Housing,1,1
309,Full Time,Under Graduate,6.0,Nil,Others,Fresher,5 & Above members,2.0,2,Affordable Housing,0,1
310,Full Time,Under Graduate,2.0,3K-7K,Housing Loan,INR 10L and above,5 & Above members,1.0,4,Affordable Housing,0,1
311,Full Time,Under Graduate,2.0,Above 10K,MSME / SME Loan,INR 15L and above,3 - 4 members,1.0,3,Affordable Housing,0,1
312,Full Time,Under Graduate,1.5,3K-7K,MSME / SME Loan,INR 5L - INR 15L,3 - 4 members,1.0,3,Sales,1,1
313,Full Time,Post Graduate,3.0,3K-7K,Car Loan,INR 15L and above,3 - 4 members,1.0,2,Affordable Housing,1,1
314,Full Time,Under Graduate,7.0,Above 10K,Others,INR 15L and above,5 & Above members,1.0,2,Sales,1,1
315,Full Time,Under Graduate,4.0,Above 10K,Personal Loan,INR 15L and above,3 - 4 members,1.0,3,Business Loans,1,1
316,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 10L and above,3 - 4 members,1.0,0,Budget Housing,0,1
317,Full Time,Under Graduate,3.0,Nil,Others,INR 50K and below,1 - 2 members,1.0,1,Affordable Housing,0,0
318,Full Time,Under Graduate,5.0,7K-10K,CASA Account,INR 2L - INR 5L,3 - 4 members,1.0,3,Affordable Housing,1,1
319,Full Time,Post Graduate,4.0,Above 10K,MSME / SME Loan,INR 15L and above,1 - 2 members,1.0,2,Sales,0,1
320,Full Time,Post Graduate,1.0,Nil,Housing Loan,INR 5L - INR 15L,3 - 4 members,2.0,3,Affordable Housing,1,1
321,Full Time,Under Graduate,0.0,7K-10K,Housing Loan,INR 10L and above,5 & Above members,1.0,0,Affordable Housing,0,1
322,Full Time,Post Graduate,0.0,Nil,Others,Fresher,3 - 4 members,1.0,3,Sales,0,1
323,Full Time,Post Graduate,10.0,7K-10K,Car Loan,INR 15L and above,5 & Above members,1.0,3,Sales,0,1
324,Full Time,Others,2.0,7K-10K,Housing Loan,INR 15L and above,3 - 4 members,1.0,2,Affordable Housing,1,1
325,Full Time,Under Graduate,0.0,7K-10K,Housing Loan,INR 2L - INR 5L,1 - 2 members,1.0,2,Affordable Housing,0,1
326,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 50K and below,5 & Above members,1.0,3,Affordable Housing,0,1
327,Full Time,Under Graduate,13.0,7K-10K,Housing Loan,INR 15L and above,1 - 2 members,1.0,2,Affordable Housing,0,1
328,Full Time,Under Graduate,2.0,7K-10K,CASA Account,INR 5L - INR 15L,3 - 4 members,1.0,1,Affordable Housing,0,1
329,Full Time,Under Graduate,3.0,3K-7K,MSME / SME Loan,INR 15L and above,3 - 4 members,1.0,2,Secured Business Loan,1,1
330,Full Time,Post Graduate,0.4,3K-7K,Housing Loan,INR 5L - INR 15L,5 & above members,1.0,3,Affordable Housing,0,1
331,Full Time,Post Graduate,8.0,Above 10K,Others,INR 50K - INR 2L,5 & Above members,0.0,4,Secured Business Loan,1,1
332,Full Time,Under Graduate,6.0,Above 10K,Car Loan,INR 5L - INR 15L,3 - 4 members,1.0,3,Sales,0,1
333,Full Time,Under Graduate,0.0,Above 10K,Loan Against Property,INR 10L and above,3 - 4 members,1.0,2,Secured Business Loan,1,1
334,Full Time,Under Graduate,1.0,Less than 3K,Personal Loan,INR 50K - INR 2L,5 & Above members,3.0,0,Mass Affluent Housing,1,1
335,Full Time,Post Graduate,7.0,Above 10K,Housing Loan,INR 15L and above,5 & Above members,1.0,1,Mass Affluent Housing,0,1
336,Full Time,Post Graduate,10.0,Above 10K,Housing Loan,INR 2L - INR 5L,5 & Above members,2.0,3,Affordable Housing,0,1
337,Full Time,Under Graduate,4.0,Above 10K,Housing Loan,INR 15L and above,5 & above members,2.0,1,Mass Affluent Housing,0,0
338,Full Time,Under Graduate,0.0,Above 10K,Personal Loan,INR 10L and above,3 - 4 members,1.0,1,Sales,0,1
339,Full Time,Under Graduate,2.0,7K-10K,MSME / SME Loan,INR 2L - INR 5L,1 - 2 members,1.0,2,Affordable Housing,1,1
340,Full Time,Under Graduate,4.0,3K-7K,Personal Loan,INR 50K - INR 2L,3 - 4 members,1.0,2,Affordable Housing,0,1
341,Full Time,Under Graduate,14.0,3K-7K,Others,INR 50K - INR 2L,5 & Above members,0.0,5,Affordable Housing,0,1
342,Full Time,Post Graduate,3.0,3K-7K,Housing Loan,INR 5L - INR 15L,5 & Above members,4.0,4,Mass Affluent Housing,0,1
343,Full Time,Post Graduate,3.0,Above 10K,Housing Loan,Fresher,3 - 4 members,1.0,1,Affordable Housing,0,1
344,Full Time,Under Graduate,16.0,3K-7K,Others,Fresher,3 - 4 members,0.0,3,Affordable Housing,1,1
345,Full Time,Under Graduate,9.0,Above 10K,Housing Loan,INR 5L - INR 15L,5 & Above members,0.0,5,Sales,0,1
346,Full Time,Under Graduate,0.0,3K-7K,Housing Loan,INR 2L - INR 5L,5 & Above members,1.0,5,Affordable Housing,0,1
347,Full Time,Under Graduate,2.0,3K-7K,Housing Loan,INR 15L and above,1 - 2 members,1.0,0,Affordable Housing,0,1
348,Full Time,Under Graduate,2.0,Nil,Others,INR 15L and above,3 - 4 members,1.0,2,Affordable Housing,0,1
349,Full Time,Under Graduate,7.666666667,Less than 3K,Car Loan,INR 50K and below,1 - 2 members,1.0,1,Affordable Housing,1,1
350,Full Time,Under Graduate,6.333333333,Above 10K,Business Loan,INR 10L and above,5 & Above members,1.0,6,Business Loans,1,1
351,Full Time,Post Graduate,6.0,Above 10K,Housing Loan,INR 50K - INR 2L,3 - 4 members,2.0,2,Mass Affluent Housing,1,1
352,Full Time,Under Graduate,4.0,7K-10K,Housing Loan,INR 5L - INR 15L,3 - 4 members,1.0,2,Affordable Housing,0,1
353,Full Time,Post Graduate,3.833333333,7K-10K,Housing Loan,INR 10L and above,5 & Above members,1.0,3,Affordable Housing,1,1
354,Full Time,Under Graduate,5.0,Above 10K,Housing Loan,INR 15L and above,1 - 2 members,0.0,1,Affordable Housing,1,1
355,Part Time,Post Graduate,10.0,3K-7K,Housing Loan,INR 50K and below,3 - 4 members,1.0,4,Affordable Housing,0,1
356,Full Time,Under Graduate,6.583333333,Above 10K,Housing Loan,INR 10L and above,3 - 4 members,1.0,3,Affordable Housing,1,1
357,Full Time,Post Graduate,3.416666667,3K-7K,Housing Loan,INR 10L and above,3 - 4 members,1.0,3,Mass Affluent Housing,0,1
358,Full Time,Under Graduate,3.5,3K-7K,MSME / SME Loan,INR 50K - INR 2L,5 & Above members,1.0,3,Business Loans,1,1
359,Full Time,Post Graduate,6.0,Less than 3K,Housing Loan,INR 15L and above,3 - 4 members,3.0,2,Affordable Housing,0,1
360,Full Time,Under Graduate,6.0,7K-10K,Housing Loan,INR 50K and below,5 & Above members,3.0,6,Mass Affluent Housing,0,1
361,Full Time,Under Graduate,0.0,7K-10K,Housing Loan,INR 10L and above,3 - 4 members,1.0,2,Mass Affluent Housing,0,1
362,Full Time,Under Graduate,1.0,Above 10K,Personal Loan,Fresher,5 & Above members,1.0,2,Mass Affluent Housing,1,1
363,Full Time,Under Graduate,4.0,3K-7K,Housing Loan,INR 15L and above,3 - 4 members,2.0,2,Affordable Housing,1,1
364,Full Time,Post Graduate,8.0,Above 10K,Personal Loan,INR 15L and above,5 & Above members,1.0,4,Sales,0,1
365,Full Time,Under Graduate,5.0,7K-10K,Housing Loan,INR 2L - INR 5L,5 & Above members,1.0,4,Affordable Housing,0,1
366,Full Time,Under Graduate,3.4,3K-7K,Personal Loan,INR 50K - INR 2L,3 - 4 members,2.0,0,Sales,0,0
367,Full Time,Under Graduate,1.0,Above 10K,Car Loan,INR 2L - INR 5L,3 - 4 members,2.0,4,Sales,0,1
368,Full Time,Under Graduate,3.5,3K-7K,Housing Loan,INR 10L and above,1 - 2 members,1.0,2,Mass Affluent Housing,0,1
369,Full Time,Under Graduate,3.0,3K-7K,Housing Loan,INR 15L and above,1 - 2 members,0.0,2,Affordable Housing,0,1
370,Full Time,Under Graduate,0.0,Nil,Personal Loan,Fresher,5 & Above members,1.0,5,Sales,1,0
371,Full Time,Others,5.0,7K-10K,Car Loan,INR 5L - INR 15L,1 - 2 members,1.0,1,Sales,1,1
372,Full Time,Under Graduate,5.633333333,Nil,Housing Loan,INR 10L and above,5 & Above members,1.0,2,Mass Affluent Housing,0,0
373,Full Time,Post Graduate,2.0,3K-7K,Others,INR 50K and below,3 - 4 members,1.0,3,Mass Affluent Housing,0,0
374,Full Time,Under Graduate,3.0,Above 10K,Housing Loan,INR 2L - INR 5L,3 - 4 members,1.0,2,Affordable Housing,0,1
375,Full Time,Under Graduate,5.0,Above 10K,Car Loan,INR 5L - INR 15L,5 & Above members,2.0,3,Sales,1,1
376,Full Time,Under Graduate,12.0,7K-10K,CASA Account,INR 15L and above,3 - 4 members,1.0,3,Mass Affluent Housing,1,1
377,Full Time,Post Graduate,2.0,Nil,Housing Loan,Fresher,5 & Above members,0.0,3,Affordable Housing,0,1
378,Full Time,Under Graduate,1.0,3K-7K,Others,INR 2L - INR 5L,3 - 4 members,1.0,2,Affordable Housing,0,1
379,Full Time,Under Graduate,6.0,3K-7K,Housing Loan,INR 15L and above,1 - 2 members,0.0,2,Mass Affluent Housing,0,1
380,Full Time,Under Graduate,4.0,Above 10K,Housing Loan,INR 5L - INR 15L,5 & Above members,1.0,3,Affordable Housing,0,1
381,Full Time,Post Graduate,8.0,Above 10K,Housing Loan,INR 50K - INR 2L,3 - 4 members,1.0,3,Budget Housing,1,1
382,Full Time,Under Graduate,2.0,Above 10K,Personal Loan,INR 5L - INR 15L,5 & Above members,1.0,0,Sales,0,1
383,Full Time,Post Graduate,5.0,Above 10K,Housing Loan,INR 15L and above,5 & Above members,1.0,3,Affordable Housing,1,1
384,Full Time,Under Graduate,2.0,Above 10K,Others,INR 2L - INR 5L,5 & Above members,1.0,1,Secured Business Loan,0,1
385,Full Time,Post Graduate,0.0,Nil,Others,Fresher,3 - 4 members,2.0,2,Sales,0,1
386,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 10L and above,3 - 4 members,1.0,3,Mass Affluent Housing,0,1
387,Full Time,Under Graduate,7.0,3K-7K,Housing Loan,INR 50K - INR 2L,5 & Above members,2.0,5,Affordable Housing,0,1
388,Full Time,Under Graduate,15.0,3K-7K,Housing Loan,INR 15L and above,3 - 4 members,0.0,4,Mass Affluent Housing,1,1
389,Full Time,Under Graduate,0.0,3K-7K,Housing Loan,INR 10L and above,1 - 2 members,1.0,1,Mass Affluent Housing,0,1
390,Full Time,Under Graduate,4.0,Less than 3K,Housing Loan,INR 10L and above,5 & Above members,1.0,6,Affordable Housing,0,1
391,Full Time,Under Graduate,0.0,Above 10K,Car Loan,INR 50K and below,5 & Above members,1.0,4,Sales,1,1
392,Full Time,Under Graduate,4.0,Above 10K,Personal Loan,INR 50K and below,5 & Above members,1.0,4,Mass Affluent Housing,0,1
393,Full Time,Under Graduate,0.0,3K-7K,Housing Loan,INR 2L - INR 5L,3 - 4 members,1.0,1,Affordable Housing,0,0
394,Full Time,Under Graduate,2.0,Less than 3K,MSME / SME Loan,INR 2L - INR 5L,5 & Above members,0.0,5,Affordable Housing,0,1
395,Full Time,Under Graduate,0.0,Nil,Housing Loan,INR 10L and above,1 - 2 members,1.0,0,Budget Housing,0,1
396,Full Time,Under Graduate,6.0,Above 10K,Housing Loan,INR 5L - INR 15L,1 - 2 members,0.0,2,Mass Affluent Housing,0,1
397,Full Time,Under Graduate,4.0,Above 10K,CASA Account,INR 50K - INR 2L,3 - 4 members,1.0,1,Affordable Housing,0,1
398,Full Time,Under Graduate,0.0,Above 10K,Loan Against Property,INR 10L and above,5 & Above members,1.0,4,Secured Business Loan,0,1
399,Full Time,Under Graduate,3.0,3K-7K,Others,INR 50K and below,5 & Above members,3.0,4,Affordable Housing,0,1
400,Full Time,Under Graduate,5.0,Above 10K,Car Loan,INR 2L - INR 5L,3 - 4 members,0.0,5,Sales,1,1
401,Full Time,Under Graduate,10.0,Above 10K,Housing Loan,INR 15L and above,5 & Above members,3.0,6,Budget Housing,0,1
402,Full Time,Under Graduate,5.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,2.0,4,Mass Affluent Housing,1,1
403,Full Time,Post Graduate,7.0,3K-7K,Car Loan,INR 15L and above,3 - 4 members,1.0,3,Sales,0,1
404,Full Time,Under Graduate,7.0,Above 10K,CASA Account,INR 2L - INR 5L,3 - 4 members,2.0,1,Secured Business Loan,1,1
405,Full Time,Under Graduate,0.0,Less than 3K,Housing Loan,Fresher,3 - 4 members,1.0,1,Affordable Housing,0,1
406,Full Time,Under Graduate,10.0,Nil,Housing Loan,INR 15L and above,3 - 4 members,1.0,2,Affordable Housing,0,1
407,Full Time,Under Graduate,4.0,7K-10K,Car Loan,Fresher,3 - 4 members,2.0,2,Affordable Housing,0,1
408,Full Time,Under Graduate,18.0,Above 10K,Housing Loan,INR 15L and above,3 - 4 members,0.0,2,Mass Affluent Housing,1,1
409,Full Time,Post Graduate,0.0,Nil,Others,Fresher,3 - 4 members,2.0,3,Sales,0,1
410,Full Time,Under Graduate,0.0,3K-7K,Loan Against Property,INR 10L and above,3 - 4 members,1.0,2,Secured Business Loan,0,1
411,Full Time,Under Graduate,0.0,Above 10K,Housing Loan,INR 2L - INR 5L,5 & Above members,1.0,4,Mass Affluent Housing,0,1
412,Full Time,Post Graduate,8.0,3K-7K,Car Loan,INR 50K and below,3 - 4 members,1.0,2,Affordable Housing,0,1
413,Full Time,Under Graduate,3.0,Above 10K,Car Loan,INR 2L - INR 5L,3 - 4 members,2.0,2,Sales,1,1
414,Full Time,Post Graduate,1.5,Above 10K,Car Loan,INR 2L - INR 5L,3 - 4 members,1.0,3,Sales,0,1
415,Full Time,Under Graduate,3.0,3K-7K,Personal Loan,INR 5L - INR 15L,3 - 4 members,2.0,1,Sales,0,1
416,Full Time,Under Graduate,4.916666667,Above 10K,Housing Loan,INR 10L and above,5 & Above members,1.0,0,Mass Affluent Housing,1,1
417,Full Time,Under Graduate,1.0,7K-10K,Housing Loan,INR 50K - INR 2L,3 - 4 members,2.0,0,Affordable Housing,0,1
418,Full Time,Under Graduate,7.0,Above 10K,Car Loan,INR 10L and above,3 - 4 members,1.0,2,Sales,1,1
419,Full Time,Under Graduate,1.0,3K-7K,Others,Fresher,5 & Above members,3.0,2,Secured Business Loan,0,1
420,Full Time,Post Graduate,7.0,7K-10K,Others,INR 2L - INR 5L,3 - 4 members,2.0,4,Mass Affluent Housing,0,1
421,Full Time,Post Graduate,4.0,7K-10K,CASA Account,INR 2L - INR 5L,3 - 4 members,2.0,0,Sales,1,1
